t1,t0,S0,S1,F,K,r_diff,FX_EWI,sigma,IZ,P_breach,LossAlert,h,eff_P0,eff_P1,eff_P2,cancelled,unwind_P1,unwind_P2,pnl_P0,pnl_P1,pnl_P2,cost_P1,cost_P2
2022-11-30,2022-09-01,1355.0999755859375,1325.3699951171875,1355.5372348115782,1232.1639297727554,0.001299999999999999,49.67952948001867,0.08576055636423273,1,0.027066936476657037,0.01344672668625876,0.0,1325.3699951171875,1353.5372348115782,1325.3699951171875,0,0.0,0.0,46603032.67221604,60686652.519411385,46603032.67221604,1000000.0,0.0
2022-12-30,2022-10-03,1433.3399658203125,1260.260009765625,1434.5837526702087,1250.8860740056114,0.003500000000000003,60.97038008289617,0.09712941355687806,0,0.018916677696728373,0.011533570290751737,0.0,1260.260009765625,1432.5837526702087,1260.260009765625,0,0.0,0.0,4686967.880006819,90848839.33229867,4686967.880006819,1000000.0,0.0
2023-01-31,2022-11-03,1423.0999755859375,1231.5,1422.8534354723627,1272.4101218571739,-0.0006999999999999923,27.73030809198206,0.10282651565962286,0,0.04071220182035065,0.011289618995812763,0.0,1231.5,1420.8534354723627,1231.5,0,0.0,0.0,-20455060.92858693,74221656.8075944,-20455060.92858693,1000000.0,0.0
2023-02-28,2022-12-01,1279.800048828125,1318.3499755859375,1279.1668292700485,1285.3353213355654,-0.0020000000000000018,86.14077233146318,0.16445267825616974,0,0.5199132936971249,0.4478573266446519,1.0,1318.3499755859375,1277.1668292700485,1277.1668292700485,0,0.0,0.0,16507327.125186065,-4084246.0327584147,-4084246.0327584147,1000000.0,1000000.0
2023-03-30,2023-01-03,1270.0999755859375,1296.5,1268.2155542571752,1294.6822645399307,-0.006000000000000005,10.51725136672259,0.15272218740703516,0,0.5941132353782397,0.06248438236769771,0.0,1296.5,1266.2155542571752,1296.5,0,0.0,0.0,908867.7300346717,-14233355.141377728,908867.7300346717,1000000.0,0.0
2023-04-30,2023-02-01,1232.1500244140625,1337.1700439453125,1229.0433031382865,1298.3817889501179,-0.0102,11.746535474498362,0.10043356856501758,0,0.8275599243766089,0.09720962008963017,0.0,1337.1700439453125,1227.0433031382865,1337.1700439453125,0,0.0,0.0,19394127.49759731,-35669242.90591567,19394127.49759731,1000000.0,0.0
2023-05-31,2023-03-06,1294.780029296875,1321.739990234375,1291.101313431445,1304.813929966518,-0.011499999999999996,79.9359764081985,0.10592478118600859,1,0.3885674474805837,0.31060518314801844,0.5,1321.739990234375,1289.101313431445,1305.4206518329102,0,0.0,0.0,8463030.133928556,-7856308.2675364055,303360.93319613155,1000000.0,500000.0
2023-06-29,2023-04-03,1308.050048828125,1323.0699462890625,1303.9459315219717,1311.9178980267236,-0.012699999999999989,30.225074202656504,0.11166627091093287,1,0.36404432708730705,0.1100326679927001,0.0,1323.0699462890625,1301.9459315219717,1323.0699462890625,0,0.0,0.0,5576024.131169447,-4985983.252375945,5576024.131169447,1000000.0,0.0
2023-07-31,2023-05-03,1335.22998046875,1277.9300537109375,1330.45058953913,1317.56539820111,-0.014499999999999999,23.400219601464393,0.08744158178636881,0,0.3864661144691653,0.09043391947103144,0.0,1277.9300537109375,1328.45058953913,1277.9300537109375,0,0.0,0.0,-19817672.245086215,5442595.669010075,-19817672.245086215,1000000.0,0.0
2023-08-31,2023-06-05,1299.7900390625,1324.6400146484375,1295.1387667114618,1323.0714309934585,-0.014500000000000006,48.304862925085786,0.09124324586698089,1,0.4503819084776179,0.21755636352949864,0.5,1324.6400146484375,1293.1387667114618,1308.8893906799497,0,0.0,0.0,784291.8274894828,-14966332.140998362,-7091020.156754439,1000000.0,500000.0
2023-09-28,2023-07-03,1306.0999755859375,1347.8499755859375,1301.3940059298195,1322.740953717913,-0.014600000000000002,81.35319924853628,0.1028756277074735,1,0.4146222303525701,0.33730844918745145,0.5,1347.8499755859375,1299.3940059298195,1323.6219907578784,0,0.0,0.0,12554510.934012229,-11673473.894046765,440518.5199826747,1000000.0,500000.0
2023-10-31,2023-08-02,1295.3699951171875,1348.0699462890625,1290.3517828331942,1320.5958741203187,-0.015699999999999992,39.611562612041354,0.10198555524509295,1,0.44772343692318683,0.17735024954561163,0.5,1348.0699462890625,1288.3517828331942,1318.2108645611283,0,0.0,0.0,13737036.08437188,-16122045.643562274,-1192504.779595197,1000000.0,500000.0
2023-11-30,2023-09-03,1317.4599609375,1288.3599853515625,1312.4540681670985,1318.0949605305989,-0.015400000000000004,25.376045244480178,0.0713160051382168,0,0.5051297046888258,0.12818194240514555,0.0,1288.3599853515625,1310.4540681670985,1288.3599853515625,0,0.0,0.0,-14867487.589518191,-3820446.1817501853,-14867487.589518191,1000000.0,0.0
2023-12-29,2023-10-02,1354.18994140625,1277.8399658203125,1349.078530007825,1311.374046204582,-0.015300000000000001,75.69398412354322,0.07719688669961608,1,0.15509553187075545,0.11739798727057453,0.0,1277.8399658203125,1347.078530007825,1277.8399658203125,0,0.0,0.0,-16767040.1921348,17852241.901621483,-16767040.1921348,1000000.0,0.0
